Date,Close/Last,Volume,Open,High,Low
06/18/2025,$153.63,6708683,$155.00,$156.0994,$153.15
06/17/2025,$154.46,7146944,$156.65,$157.58,$154.39
06/16/2025,$156.87,8686257,$157.03,$158.45,$155.64
06/13/2025,$154.72,8446444,$156.34,$157.17,$154.44
06/12/2025,$158.70,5689351,$159.00,$159.61,$157.95
06/11/2025,$159.48,8859937,$160.00,$162.14,$157.70
06/10/2025,$159.13,9068443,$156.19,$159.51,$155.07
06/09/2025,$155.41,10589380,$151.81,$156.12,$151.1685
06/06/2025,$149.24,5794700,$149.80,$150.59,$149.05
06/05/2025,$147.56,5613181,$148.80,$150.08,$147.00
06/04/2025,$149.05,7143844,$150.00,$150.05,$147.3826
06/03/2025,$148.94,6164120,$146.71,$149.78,$145.515
06/02/2025,$146.63,6419509,$144.80,$147.205,$144.48
05/30/2025,$145.20,13755570,$148.00,$148.02,$143.48
05/29/2025,$148.34,5984793,$149.86,$150.4999,$147.24
05/28/2025,$147.60,7032262,$148.82,$149.49,$147.36
05/27/2025,$148.63,9788753,$147.55,$149.35,$146.43
05/23/2025,$145.38,8994607,$143.42,$146.485,$141.77
05/22/2025,$147.37,9539061,$151.39,$151.58,$147.22
05/21/2025,$151.31,9684483,$153.58,$156.13,$150.8308
05/20/2025,$153.82,5269482,$153.035,$153.89,$151.925
05/19/2025,$153.70,7241083,$150.55,$153.82,$150.11
05/16/2025,$152.50,6667966,$152.87,$153.055,$151.30
05/15/2025,$152.61,6941187,$151.71,$153.39,$150.18
05/14/2025,$152.98,6971196,$151.925,$153.27,$150.43
05/13/2025,$151.34,10160950,$152.005,$153.29,$150.96
05/12/2025,$152.12,11414650,$154.08,$154.36,$149.83
05/09/2025,$145.18,6217069,$145.66,$146.983,$144.60
05/08/2025,$145.10,8489076,$145.64,$147.50,$143.89
05/07/2025,$144.30,10202540,$140.38,$144.70,$140.245
05/06/2025,$139.90,6957862,$137.82,$140.80,$137.46
05/05/2025,$139.44,7165260,$138.30,$140.77,$138.29
05/02/2025,$139.81,13185570,$137.85,$141.41,$137.29
05/01/2025,$135.21,22836550,$138.785,$138.96,$134.87
04/30/2025,$148.46,10851870,$145.195,$148.85,$143.88
04/29/2025,$146.88,6691951,$146.66,$148.26,$145.52
04/28/2025,$147.62,5743480,$148.18,$149.30,$145.4398
04/25/2025,$148.56,5145633,$146.08,$149.20,$146.08
04/24/2025,$147.21,8810602,$142.78,$147.82,$141.99
04/23/2025,$140.46,9073488,$142.58,$143.88,$139.78
04/22/2025,$138.74,8227962,$136.745,$139.10,$136.49
04/21/2025,$136.14,8128290,$134.73,$136.55,$133.36
04/17/2025,$136.66,7135854,$137.38,$138.15,$135.71
04/16/2025,$135.74,10417220,$133.68,$137.31,$131.79
04/15/2025,$138.60,6346797,$139.46,$140.835,$138.03
04/14/2025,$139.19,6930331,$142.75,$143.11,$136.83
04/11/2025,$139.25,10955260,$134.00,$140.65,$131.11
04/10/2025,$134.40,14898760,$137.01,$139.0599,$129.29
04/09/2025,$143.59,21242590,$125.155,$144.86,$124.19
04/08/2025,$124.66,14965910,$131.13,$135.29,$121.74
04/07/2025,$129.72,17938330,$124.59,$137.20,$120.8019
04/04/2025,$127.46,19018560,$134.34,$135.86,$126.68
04/03/2025,$139.42,16464970,$147.00,$147.40,$138.56
04/02/2025,$154.08,5377181,$150.79,$155.46,$150.37
04/01/2025,$153.05,5708940,$152.39,$153.32,$150.265
03/31/2025,$153.61,8613591,$150.805,$153.85,$147.88
03/28/2025,$152.72,8917986,$156.92,$157.64,$151.56
03/27/2025,$157.97,6101990,$158.21,$159.25,$155.75
03/26/2025,$158.39,5965132,$159.45,$160.81,$156.85
03/25/2025,$160.15,3978200,$159.88,$161.47,$159.42
03/24/2025,$160.08,6033350,$160.00,$161.00,$158.80
03/21/2025,$156.82,10949250,$154.98,$157.416,$153.56
03/20/2025,$157.95,5089255,$158.00,$159.12,$156.52
03/19/2025,$158.26,5870969,$156.43,$160.515,$155.06
03/18/2025,$156.29,6898367,$157.95,$159.73,$155.9233
03/17/2025,$157.95,5781412,$155.60,$158.72,$155.44
03/14/2025,$156.58,5309435,$153.56,$156.95,$153.54
03/13/2025,$151.94,5861709,$152.595,$155.63,$150.42
03/12/2025,$152.80,7117435,$154.21,$155.86,$151.92
03/11/2025,$153.10,8692939,$154.85,$156.2275,$150.86
03/10/2025,$154.98,10139920,$157.35,$159.255,$152.61
03/07/2025,$161.22,8727617,$155.22,$161.82,$155.22
03/06/2025,$156.04,7808129,$154.11,$157.88,$154.09
03/05/2025,$158.49,6786851,$155.04,$159.15,$153.03
03/04/2025,$154.46,8956839,$155.27,$157.20,$151.35
03/03/2025,$153.62,9601853,$158.99,$160.08,$152.52
02/28/2025,$157.17,10149470,$155.10,$157.31,$153.40
02/27/2025,$154.44,10807190,$162.34,$163.25,$154.10
02/26/2025,$162.10,9161867,$161.83,$164.14,$160.93
02/25/2025,$161.22,8244945,$161.66,$163.33,$159.44
02/24/2025,$161.10,9827839,$165.91,$166.59,$160.99
02/21/2025,$165.43,12531870,$174.98,$175.43,$165.21
02/20/2025,$173.70,6316412,$176.00,$176.39,$172.90
02/19/2025,$175.22,6849614,$173.985,$176.50,$173.35
