Date,Close/Last,Volume,Open,High,Low
10/02/2025,$169.73,55475230,$168.675,$171.06,$166.12
10/01/2025,$164.01,39895180,$160.93,$164.18,$160.49
09/30/2025,$161.79,29669330,$160.795,$162.28,$159.33
09/29/2025,$161.36,39828790,$160.12,$164.30,$159.90
09/26/2025,$159.46,30316930,$160.52,$162.11,$157.05
09/25/2025,$161.27,36809880,$157.135,$161.63,$154.7798
09/24/2025,$160.88,38464120,$162.98,$165.10,$158.43
09/23/2025,$160.90,39448320,$160.52,$163.39,$159.21
09/22/2025,$159.79,46505480,$157.42,$162.68,$157.42
09/19/2025,$157.39,55448080,$157.38,$159.84,$155.90
09/18/2025,$157.92,84549470,$150.96,$158.7699,$149.85
09/17/2025,$159.16,41823840,$159.28,$161.63,$155.76
09/16/2025,$160.46,27946480,$161.37,$161.95,$159.22
09/15/2025,$161.16,36808730,$160.01,$162.30,$157.6012
09/12/2025,$158.57,42232780,$157.00,$160.41,$154.92
09/11/2025,$155.67,48817720,$158.62,$160.21,$154.99
09/10/2025,$159.54,52465270,$163.54,$164.525,$158.00
09/09/2025,$155.82,42802470,$151.99,$156.66,$151.93
09/08/2025,$151.41,41849000,$151.80,$152.6388,$149.22
09/05/2025,$151.14,78255950,$157.12,$157.14,$150.18
09/04/2025,$161.79,32103500,$159.935,$162.05,$157.79
09/03/2025,$162.13,30752790,$161.81,$164.75,$160.58
09/02/2025,$162.32,38656130,$158.42,$162.3916,$156.62
08/29/2025,$162.63,37516820,$166.81,$168.57,$161.90
08/28/2025,$168.58,36285190,$168.50,$170.99,$166.65
08/27/2025,$167.13,37031040,$166.04,$167.68,$164.65
08/26/2025,$166.62,52138560,$168.65,$169.77,$164.91
08/25/2025,$163.36,36134680,$165.55,$165.59,$161.72
08/22/2025,$167.76,43998610,$162.17,$168.53,$161.80
08/21/2025,$163.71,37880460,$165.86,$165.8799,$162.2558
08/20/2025,$165.20,60233230,$164.10,$166.65,$158.25
08/19/2025,$166.55,64455010,$173.10,$173.17,$166.10
08/18/2025,$176.14,35937530,$176.755,$178.7953,$174.36
08/15/2025,$177.51,51543140,$180.06,$180.14,$176.25
08/14/2025,$180.95,66308820,$179.83,$185.44,$179.56
08/13/2025,$184.42,108305100,$179.91,$186.65,$179.38
08/12/2025,$174.95,52335750,$173.32,$175.16,$168.50
08/11/2025,$172.28,70651030,$170.04,$178.82,$169.38
08/08/2025,$172.76,68866690,$174.04,$176.48,$170.52
08/07/2025,$172.40,95448310,$166.835,$175.75,$166.70
08/06/2025,$163.12,133641800,$165.05,$166.18,$157.80
08/05/2025,$174.31,88808520,$177.565,$177.99,$171.80
08/04/2025,$176.78,52951040,$174.605,$177.86,$173.56
08/01/2025,$171.70,75396130,$170.16,$174.40,$166.82
07/31/2025,$176.31,71765290,$182.015,$182.50,$173.00
07/30/2025,$179.51,64820290,$175.605,$180.37,$173.80
07/29/2025,$177.44,108154800,$175.205,$182.31,$174.68
07/28/2025,$173.66,68267840,$169.08,$174.70,$168.67
07/25/2025,$166.47,53432260,$163.505,$167.175,$162.36
07/24/2025,$162.12,48440110,$159.12,$163.93,$158.36
07/23/2025,$158.65,41510900,$156.315,$159.4485,$156.00
07/22/2025,$154.72,49028020,$156.20,$156.2291,$149.34
07/21/2025,$157.00,39021130,$157.62,$160.34,$156.92
07/18/2025,$156.99,48859840,$159.59,$160.83,$155.81
07/17/2025,$160.41,50605120,$161.81,$161.96,$158.68
07/16/2025,$160.08,59492760,$155.31,$160.36,$152.85
07/15/2025,$155.61,93370080,$153.75,$158.68,$153.56
07/14/2025,$146.24,44718550,$145.09,$147.58,$141.90
