Date,Close/Last,Volume,Open,High,Low
11/28/2025,$430.17,36252860,$426.59,$432.93,$426.20
11/26/2025,$426.58,63463000,$423.95,$426.94,$416.89
11/25/2025,$419.40,71915620,$414.42,$420.48,$405.95
11/24/2025,$417.78,96806370,$402.17,$421.72,$401.09
11/21/2025,$391.09,100460600,$402.32,$402.80,$383.76
11/20/2025,$395.23,113548800,$414.63,$428.94,$394.74
11/19/2025,$403.99,72047700,$406.18,$411.78,$398.50
11/18/2025,$401.25,80688640,$405.38,$408.90,$393.71
11/17/2025,$408.92,102214300,$398.74,$423.96,$398.74
11/14/2025,$404.35,105506700,$386.30,$412.19,$382.78
11/13/2025,$401.99,118948000,$423.13,$424.50,$396.34
11/12/2025,$430.60,58513520,$442.15,$442.329,$426.56
11/11/2025,$439.62,60533240,$439.40,$442.49,$432.36
11/10/2025,$445.23,76515910,$439.60,$449.6715,$433.36
11/07/2025,$429.52,103471500,$437.92,$439.36,$421.88
11/06/2025,$445.91,109622900,$461.96,$467.45,$435.09
11/05/2025,$462.07,85573020,$452.05,$466.3299,$440.71
11/04/2025,$444.26,87756640,$454.46,$460.22,$443.60
11/03/2025,$468.37,84595240,$455.99,$474.07,$453.80
10/31/2025,$456.56,83135790,$446.75,$458.00,$443.6855
10/30/2025,$440.10,72447940,$451.05,$455.0607,$439.61
10/29/2025,$461.51,67983540,$462.50,$465.70,$452.65
10/28/2025,$460.55,80185670,$454.775,$467.00,$451.60
10/27/2025,$452.42,105867500,$439.98,$460.16,$438.69
10/24/2025,$433.72,94727770,$446.83,$451.68,$430.17
10/23/2025,$448.98,126709800,$420.00,$449.3999,$413.90
10/22/2025,$438.97,84023460,$443.45,$445.539,$429.00
10/21/2025,$442.60,54412170,$445.755,$449.30,$442.05
10/20/2025,$447.43,63718970,$443.865,$449.80,$440.61
10/17/2025,$439.31,89331580,$425.50,$441.4558,$423.60
10/16/2025,$428.75,77189890,$434.73,$439.35,$421.3101
